,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
190630,GJ570A,224.36887,-21.41799,2453039.8687992,-2.092025,0.905856,27027.482265,1.015863,-4.307224,0.298123,27028.597277,0.263325,-4.307224,0.298123,-12.838467,3.688178,-9.78543,0.815271,0.585491,0.000384,0.16377,0.000379,0.218969,0.000482,0,7.106998,53.605471,-0.023342,26,208.5,2453039.86833,30.215112,30.216094,0,-9999999,0.0,1.150976,0.855393,1.115012,0.981141,0.7,200,-12.851783,3.685334,2004-02-04T08:49:12.780,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,3.88515945610165e-05,1.11883061981136e-06,1,0
190631,GJ570A,224.36887,-21.41799,2453039.8710699,-0.682507,0.902965,27027.71423,1.013774,-2.898433,0.289216,27028.824978,0.255142,-2.898433,0.289216,-14.623488,4.118517,-10.688233,0.833026,0.584749,0.000372,0.163796,0.000367,0.217483,0.000465,0,7.106277,53.613638,-0.022817,26,215.0,2453039.87106,30.210401,30.210423,0,-9999999,3e-06,1.150249,0.855394,1.110745,0.981142,0.52,200,-14.632972,4.119364,2004-02-04T08:53:04.943,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,3.96548821333229e-05,9.49057705574595e-07,1,0
190632,GJ570A,224.36887,-21.41799,2453039.8736042,-0.358973,0.911144,27028.764087,1.02025,-2.57571,0.313818,27029.870075,0.279763,-2.57571,0.313818,-10.216426,4.535644,-9.425778,0.901638,0.585901,0.000408,0.163297,0.000402,0.218349,0.000511,0,7.109754,53.598151,-0.020886,26,196.5,2453039.87359,30.205102,30.205137,0,-9999999,7e-06,1.149438,0.855395,1.105981,0.981143,0.45,200,-10.219952,4.535003,2004-02-04T08:56:57.885,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,3.89007861953753e-05,1.03202574062767e-06,1,0
190633,GJ570A,224.36887,-21.41799,2453261.5010109,7.65275,0.931535,147873381.206368,-9999999.0,2.776904,0.368829,147873380.585,-9999999.0,2.776904,0.368829,8.850263,3.696633,1.61,0.770699,0.583354,0.000481,0.167773,0.00049,0.216563,0.000618,0,10.780446,0.50676,-0.627634,145728,164.3,2453261.50101,-25.031088,-25.030809,-9999999,-9999999,0.331178,-1.509671,0.855408,-0.952546,0.981156,0.52,120,8.844259,3.698276,2004-09-13T00:04:53.863,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,4.14891406253278e-05,9.45258463590806e-07,1,0
190634,GJ570A,224.36887,-21.41799,2453261.50271,8.218069,0.932893,147873407.807559,-9999999.0,3.34168,0.372248,147873407.183,-9999999.0,3.34168,0.372248,5.882702,4.263255,2.282647,0.716897,0.582639,0.000479,0.167538,0.000491,0.216216,0.000618,0,11.642349,0.509311,-0.437066,145728,164.2,2453261.50271,-25.032716,-25.032434,-9999999,-9999999,0.33118,-1.510215,0.855407,-0.955739,0.981155,0.49,120,5.880056,4.26433,2004-09-13T00:07:24.274,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.92049704355472e-05,1.2734959631021e-06,1,0
190635,GJ570A,224.36887,-21.41799,2453261.504508,9.83346,0.930631,147873411.060936,-9999999.0,4.956495,0.366546,147873410.433,-9999999.0,4.956495,0.366546,-1.358958,3.752434,1.799478,0.782136,0.581993,0.000479,0.167729,0.000488,0.215157,0.000613,0,11.402229,0.515038,-0.318375,145728,164.9,2453261.5045,-25.034398,-25.03412,-9999999,-9999999,0.331183,-1.51079,0.855406,-0.959119,0.981154,0.53,120,-1.361681,3.75283,2004-09-13T00:09:54.835,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.99342501392799e-05,1.36419983614008e-06,1,0
190636,GJ570A,224.36887,-21.41799,2453413.8471942,15.41512,0.608111,27072.960778,1.001154,10.581764,0.231287,27073.336897,0.199224,10.581764,0.231287,-3.579086,1.802306,0.253881,0.482637,0.586698,0.00031,0.162447,0.000294,0.219007,0.000376,0,6.186128,49.009674,0.024666,27,266.8,2453413.84719,30.145492,30.145521,0,-9999999,0.558824,-1.467182,0.562411,-0.182705,0.981132,-1.0,360,-3.590249,1.80421,2005-02-12T08:25:11.709,-9999999,K5,60.A-9036(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.86328108378024e-05,1.09854962851067e-06,1,0
190637,GJ570A,224.36887,-21.41799,2453413.8517238,15.903909,0.618973,27073.413963,1.006799,11.069103,0.258492,27073.781574,0.225879,11.069103,0.258492,-2.878795,2.729924,0.422888,0.45702,0.586814,0.00035,0.162551,0.000334,0.219737,0.000427,0,6.186111,49.003496,0.022945,27,235.7,2453413.85172,30.135645,30.135658,0,-9999999,0.55883,-1.468631,0.562413,-0.191219,0.981133,-1.0,360,-2.887803,2.734042,2005-02-12T08:31:43.027,-9999999,K5,60.A-9036(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.85598439604966e-05,1.10610145147343e-06,1,0
190638,GJ570A,224.36887,-21.41799,2453413.8562383,16.902721,0.620654,27074.057366,1.007537,12.06647,0.262488,27074.416499,0.229137,12.06647,0.262488,-5.009292,2.306575,0.97792,0.474078,0.585582,0.000356,0.162281,0.000339,0.220179,0.000434,0,6.185025,49.007444,0.026003,27,232.1,2453413.85624,30.125696,30.125709,0,-9999999,0.558837,-1.470076,0.562416,-0.199704,0.981135,-1.0,360,-5.019515,2.305565,2005-02-12T08:38:13.046,-9999999,K5,60.A-9036(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.88502276097975e-05,1.00296584339457e-06,1,0
190639,GJ570A,224.36887,-21.41799,2453429.7581293,-0.964708,0.896687,27057.10282,1.008307,-5.216989,0.269083,27057.455523,0.232623,-5.216989,0.269083,-7.872342,2.68378,-9.456299,0.716746,0.582955,0.000364,0.160152,0.000352,0.214149,0.000448,0,6.165651,49.091927,0.02487,27,224.8,2453429.75812,28.28306,28.282891,0,-9999999,0.582599,-0.886107,0.855361,-0.229896,0.981106,0.74,360,-7.870461,2.68015,2005-02-28T06:04:16.351,-9999999,K5,074.C-0012(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K4V,3.55879146963883e-05,8.7751361899102e-07,1,0
